 @RELATION examen

@ATTRIBUTE pregunta1 string
@ATTRIBUTE pregunta2 string
@ATTRIBUTE pregunta3 string
@ATTRIBUTE pregunta4 string
@ATTRIBUTE pregunta5 string
@ATTRIBUTE pregunta6 string
@ATTRIBUTE tipo {HUM,NUM,LOC}
@ATTRIBUTE subTipo {ind,date,ord,state,other,count,country,city,mount,money,period,volsize,temp,dist,weight,perc,speed,code}

@DATA
 'country','kosovo', 'country kosovo' ,'part','kosovo part','country part' , LOC, country 
 'tell','city', 'tell city' ,'kentucky','city kentucky','tell kentucky' , LOC, city 
 'gross','is', 'gross is' ,'email','is email','gross email' , LOC, other 
 'english','queen', 'english queen' ,'seventeen','queen seventeen','english seventeen' , HUM, ind 
 'approximate','population', 'approximate population' ,'las','population las','approximate las' , NUM, other 
 'does','president', 'does president' ,'paid','president paid','does paid' , NUM, money 
 'baseball','players', 'baseball players' ,'make','players make','baseball make' , HUM, ind 
 'children','ages', 'children ages' ,'eleven','ages eleven','children eleven' , NUM, perc 
 'what','is', 'what is' ,'northernmost','is northernmost','what northernmost' , LOC, state 
 'gallery','new', 'gallery new' ,'york','new york','gallery york' , LOC, other 
 'building','british', 'building british' ,'monarchs','british monarchs','building monarchs' , LOC, other 
 'did','dita', 'did dita' ,'beard','dita beard','did beard' , HUM, ind 
 'country','use', 'country use' ,'airplane','use airplane','country airplane' , LOC, country 
 'served','inspiration', 'served inspiration' ,'schoolteacher','inspiration schoolteacher','served schoolteacher' , HUM, ind 
 'columbia','tristar', 'columbia tristar' ,'is','tristar is','columbia is' , NUM, code 
 'original','seven', 'original seven' ,'mercury','seven mercury','original mercury' , HUM, ind 
 'best','known', 'best known' ,'villain','known villain','best villain' , HUM, ind 
 'capital','burkina', 'capital burkina' ,'faso','burkina faso','capital faso' , LOC, city 
 'continent','bolivia', 'continent bolivia' ,'on','bolivia on','continent on' , LOC, other 
 'killed','people', 'killed people' ,'','people ','killed ' , HUM, ind 
 'us','state', 'us state' ,'blondes','state blondes','us blondes' , LOC, state 
 'us','highway', 'us highway' ,'death','highway death','us death' , NUM, count 
 'mustachioed','comedian', 'mustachioed comedian' ,'portrayed','comedian portrayed','mustachioed portrayed' , HUM, ind 
 'does','utilities', 'does utilities' ,'cost','utilities cost','does cost' , NUM, money 
 'actor','world', 'actor world' ,'war','world war','actor war' , HUM, ind 
 'city','called', 'city called' ,'insurance','called insurance','city insurance' , LOC, city 
 'portrayed','dracula', 'portrayed dracula' ,'hammer','dracula hammer','portrayed hammer' , HUM, ind 
 'fish','believed', 'fish believed' ,'earth','believed earth','fish earth' , NUM, date 
 'president','is', 'president is' ,'favorite','is favorite','president favorite' , HUM, ind 
 'elevators','ride', 'elevators ride' ,'reach','ride reach','elevators reach' , NUM, count 
 'country','sir', 'country sir' ,'edmund','sir edmund','country edmund' , LOC, country 
 'city','john', 'city john' ,'f','john f','city f' , LOC, city 
 'long','does', 'long does' ,'dog','does dog','long dog' , NUM, period 
 'fined','having', 'fined having' ,'dog','having dog','fined dog' , NUM, money 
 'did','battle', 'did battle' ,'bulge','battle bulge','did bulge' , LOC, other 
 'california','year', 'california year' ,'2000','year 2000','california 2000' , NUM, count 
 'mystery','writer', 'mystery writer' ,'penned','writer penned','mystery penned' , HUM, ind 
 'state','milk', 'state milk' ,'honey','milk honey','state honey' , LOC, state 
 'tallest','building', 'tallest building' ,'japan','building japan','tallest japan' , LOC, other 
 'sinn','fein', 'sinn fein' ,'is','fein is','sinn is' , LOC, other 
 'iraqis','launched', 'iraqis launched' ,'attack','launched attack','iraqis attack' , NUM, date 
 'country','is', 'country is' ,'northernmost','is northernmost','country northernmost' , LOC, country 
 'sound','does', 'sound does' ,'olympia','does olympia','sound olympia' , LOC, other 
 'kentucky','city', 'kentucky city' ,'calls','city calls','kentucky calls' , LOC, city 
 'penny-farthings','trivial', 'penny-farthings trivial' ,'pursuit','trivial pursuit','penny-farthings pursuit' , NUM, count 
 'european','country', 'european country' ,'boasts','country boasts','european boasts' , LOC, country 
 'us','state', 'us state' ,'dixville','state dixville','us dixville' , LOC, state 
 'cisalpine','republic', 'cisalpine republic' ,'','republic ','cisalpine ' , LOC, other 
 'largest','shopping', 'largest shopping' ,'mall','shopping mall','largest mall' , LOC, other 
 'protagonist','is', 'protagonist is' ,'dostoevski','is dostoevski','protagonist dostoevski' , HUM, ind 
 'presidential','press', 'presidential press' ,'secretary','press secretary','presidential secretary' , HUM, ind 
 'original','humpty', 'original humpty' ,'dumpty','humpty dumpty','original dumpty' , HUM, ind 
 'location','orange', 'location orange' ,'bowl','orange bowl','location bowl' , LOC, other 
 'president','nixon', 'president nixon' ,'is','nixon is','president is' , NUM, date 
 'what','is', 'what is' ,'popeye','is popeye','what popeye' , HUM, ind 
 'invented','vacuum', 'invented vacuum' ,'cleaner','vacuum cleaner','invented cleaner' , HUM, ind 
 '2th-century','fictional', '2th-century fictional' ,'character','fictional character','2th-century character' , HUM, ind 
 'people','usa', 'people usa' ,'say','usa say','people say' , NUM, count 
 'does','shakespeare', 'does shakespeare' ,'is','shakespeare is','does is' , HUM, ind 
 'country','known', 'country known' ,'as','known as','country as' , LOC, country 
 'times','day', 'times day' ,'prescription','day prescription','times prescription' , NUM, count 
 'voyager','project', 'voyager project' ,'manager','project manager','voyager manager' , HUM, ind 
 'commanders','directed', 'commanders directed' ,'forces','directed forces','commanders forces' , HUM, ind 
 'creator','of', 'creator of' ,'','of ','creator ' , HUM, ind 
 'replies','', 'replies ' ,'i',' i','replies i' , HUM, ind 
 'what','is', 'what is' ,'home','is home','what home' , LOC, other 
 'i','information', 'i information' ,'i','information i','i i' , LOC, other 
 'won','1967', 'won 1967' ,'academy','1967 academy','won academy' , HUM, ind 
 'private','citizen', 'private citizen' ,'fly','citizen fly','private fly' , HUM, ind 
 'football','star', 'football star' ,'elroy','star elroy','football elroy' , HUM, ind 
 'singer','sings', 'singer sings' ,'','sings ','singer ' , HUM, ind 
 'pizza','americans', 'pizza americans' ,'eat','americans eat','pizza eat' , NUM, count 
 'website','usa', 'website usa' ,'journal','usa journal','website journal' , LOC, other 
 'us','state', 'us state' ,'second-longest','state second-longest','us second-longest' , LOC, state 
 'state','is', 'state is' ,'home','is home','state home' , LOC, state 
 'fast','cheetahs', 'fast cheetahs' ,'run','cheetahs run','fast run' , NUM, speed 
 'fast','45mhz', 'fast 45mhz' ,'processor','45mhz processor','fast processor' , NUM, speed 
 'count','did', 'count did' ,'alexandre','did alexandre','count alexandre' , HUM, ind 
 'odds','giving', 'odds giving' ,'birth','giving birth','odds birth' , NUM, perc 
 'largest','natural', 'largest natural' ,'lake','natural lake','largest lake' , LOC, other 
 'far','london', 'far london' ,'uk','london uk','far uk' , NUM, dist 
 'years','old', 'years old' ,'benny','old benny','years benny' , NUM, count 
 'does','santa', 'does santa' ,'fe','santa fe','does fe' , LOC, other 
 'city','canada', 'city canada' ,'least-populated','canada least-populated','city least-populated' , LOC, city 
 'old','stevie', 'old stevie' ,'wonder','stevie wonder','old wonder' , NUM, period 
 'luke','skywalker', 'luke skywalker' ,'is','skywalker is','luke is' , HUM, ind 
 'death','toll', 'death toll' ,'eruption','toll eruption','death eruption' , NUM, other 
 'millennium','officially', 'millennium officially' ,'begin','officially begin','millennium begin' , NUM, date 
 'created','comic', 'created comic' ,'strip','comic strip','created strip' , HUM, ind 
 'vietnamese','terrorist', 'vietnamese terrorist' ,'delegate','terrorist delegate','vietnamese delegate' , HUM, ind 
 'imaginary','line', 'imaginary line' ,'rocky','line rocky','imaginary rocky' , LOC, other 
 'country','is', 'country is' ,'capital','is capital','country capital' , LOC, country 
 'does','ray', 'does ray' ,'bradbury','ray bradbury','does bradbury' , LOC, other 
 'current','prime', 'current prime' ,'minister','prime minister','current minister' , HUM, ind 
 'established','viking', 'established viking' ,'colony','viking colony','established colony' , HUM, ind 
 'latitude','longitude', 'latitude longitude' ,'el','longitude el','latitude el' , NUM, other 
 'i','information', 'i information' ,'cystic','information cystic','i cystic' , LOC, other 
 'did','honecker', 'did honecker' ,'rule','honecker rule','did rule' , LOC, other 
 'life','span', 'life span' ,'average','span average','life average' , NUM, period 
 'member','states', 'member states' ,'un','states un','member un' , NUM, count 
 'shot','killed', 'shot killed' ,'painting','killed painting','shot painting' , HUM, ind 
 'future','president', 'future president' ,'senate','president senate','future senate' , HUM, ind 
 'architect','central', 'architect central' ,'park','central park','architect park' , HUM, ind 
 'dimensions','ice', 'dimensions ice' ,'hockey','ice hockey','dimensions hockey' , NUM, dist 
 'cnn','is', 'cnn is' ,'broadcast','is broadcast','cnn broadcast' , NUM, date 
 'african','country', 'african country' ,'governed','country governed','african governed' , LOC, country 
 'christian','title', 'christian title' ,'character','title character','christian character' , HUM, ind 
 'hard-hearing','artist', 'hard-hearing artist' ,'painted','artist painted','hard-hearing painted' , HUM, ind 
 'wrote','sons', 'wrote sons' ,'lovers','sons lovers','wrote lovers' , HUM, ind 
 'french','seaport', 'french seaport' ,'claims','seaport claims','french claims' , LOC, city 
 'long','does', 'long does' ,'sunlight','does sunlight','long sunlight' , NUM, period 
 'cherokee','indian', 'cherokee indian' ,'gave','indian gave','cherokee gave' , HUM, ind 
 'camcorders','introduced', 'camcorders introduced' ,'malaysia','introduced malaysia','camcorders malaysia' , NUM, date 
 'chance','conceiving', 'chance conceiving' ,'quadruplets','conceiving quadruplets','chance quadruplets' , NUM, perc 
 'star','leave', 'star leave' ,'beaver','leave beaver','star beaver' , HUM, ind 
 'countries','largest', 'countries largest' ,'armed','largest armed','countries armed' , LOC, country 
 'william','f', 'william f' ,'cody','f cody','william cody' , HUM, ind 
 'did','richard', 'did richard' ,'nixon','richard nixon','did nixon' , HUM, ind 
 'following','rock', 'following rock' ,'n','rock n','following n' , HUM, ind 
 'exchange','rate', 'exchange rate' ,'australian','rate australian','exchange australian' , NUM, money 
 'states','did', 'states did' ,'richard','did richard','states richard' , NUM, count 
 'shillings','2', 'shillings 2' ,'guinea','2 guinea','shillings guinea' , NUM, count 
 'took','conductor', 'took conductor' ,'boston','conductor boston','took boston' , HUM, ind 
 'nazi','leader', 'nazi leader' ,'killed','leader killed','nazi killed' , HUM, ind 
 'brand','number', 'brand number' ,'graces','number graces','brand graces' , NUM, other 
 'city','terrorized', 'city terrorized' ,'dracula','terrorized dracula','city dracula' , LOC, city 
 'best','hospital', 'best hospital' ,'orthopedics','hospital orthopedics','best orthopedics' , LOC, other 
 'betrayed','norway', 'betrayed norway' ,'nazis','norway nazis','betrayed nazis' , HUM, ind 
 'took','toys', 'took toys' ,'donated','toys donated','took donated' , HUM, ind 
 'stationed','camp', 'stationed camp' ,'swampy','camp swampy','stationed swampy' , HUM, ind 
 'year','did', 'year did' ,'china','did china','year china' , NUM, date 
 'actor','dressed', 'actor dressed' ,'santa','dressed santa','actor santa' , HUM, ind 
 'long','did', 'long did' ,'stanley','did stanley','long stanley' , NUM, period 
 'nation','is', 'nation is' ,'children','is children','nation children' , NUM, count 
 'lake','sheboygan', 'lake sheboygan' ,'on','sheboygan on','lake on' , LOC, other 
 'largest','lake', 'largest lake' ,'north','lake north','largest north' , LOC, other 
 'people','died', 'people died' ,'smoking','died smoking','people smoking' , NUM, count 
 'wrote','look', 'wrote look' ,'love','look love','wrote love' , HUM, ind 
 'american','swimmer', 'american swimmer' ,'won','swimmer won','american won' , HUM, ind 
 'claims','greatest', 'claims greatest' ,'earth','greatest earth','claims earth' , HUM, ind 
 'honeymooners','actress', 'honeymooners actress' ,'did','actress did','honeymooners did' , HUM, ind 
 'role','medieval', 'role medieval' ,'guild','medieval guild','role guild' , HUM, ind 
 'silly','putty', 'silly putty' ,'invented','putty invented','silly invented' , HUM, ind 
 'invented','paper', 'invented paper' ,'clip','paper clip','invented clip' , HUM, ind 
 'did','lauren', 'did lauren' ,'bacall','lauren bacall','did bacall' , HUM, ind 
 'times','16-year', 'times 16-year' ,'national','16-year national','times national' , NUM, count 
 'city','state', 'city state' ,'gay','state gay','city gay' , LOC, city 
 'shea','gould', 'shea gould' ,'office','gould office','shea office' , NUM, period 
 'year','did', 'year did' ,'degas','did degas','year degas' , NUM, date 
 'composer','awarded', 'composer awarded' ,'medal','awarded medal','composer medal' , HUM, ind 
 'url','extensions', 'url extensions' ,'there','extensions there','url there' , NUM, count 
 'long','intercourse', 'long intercourse' ,'does','intercourse does','long does' , NUM, period 
 'created','fantastic', 'created fantastic' ,'four','fantastic four','created four' , HUM, ind 
 'composer','of', 'composer of' ,'','of ','composer ' , HUM, ind 
 'european','american', 'european american' ,'eels','american eels','european eels' , LOC, other 
 'author','novel', 'author novel' ,'','novel ','author ' , HUM, ind 
 'department','store', 'department store' ,'heir','store heir','department heir' , HUM, ind 
 'town','chartered', 'town chartered' ,'vermont','chartered vermont','town vermont' , LOC, city 
 'state','longest', 'state longest' ,'great','longest great','state great' , LOC, state 
 'us','state', 'us state' ,'ends','state ends','us ends' , LOC, state 
 'varieties','twins', 'varieties twins' ,'there','twins there','varieties there' , NUM, count 
 'largest','libraries', 'largest libraries' ,'us','libraries us','largest us' , LOC, other 
 'people','live', 'people live' ,'falklands','live falklands','people falklands' , NUM, count 
 'camp','david', 'camp david' ,'named','david named','camp named' , HUM, ind 
 'portrayed','', 'portrayed ' ,'man',' man','portrayed man' , HUM, ind 
 'money','minimum', 'money minimum' ,'wage','minimum wage','money wage' , NUM, money 
 'year','patent', 'year patent' ,'pull-tab','patent pull-tab','year pull-tab' , NUM, date 
 'country','boasts', 'country boasts' ,'dams','boasts dams','country dams' , LOC, country 
 'metropolis','landmark', 'metropolis landmark' ,'introduced','landmark introduced','metropolis introduced' , LOC, other 
 'city','declaration', 'city declaration' ,'independence','declaration independence','city independence' , LOC, city 
 'won','world', 'won world' ,'series','world series','won series' , HUM, ind 
 'credited','saying', 'credited saying' ,'','saying ','credited ' , HUM, ind 
 'nationality','jackson', 'nationality jackson' ,'pollock','jackson pollock','nationality pollock' , LOC, country 
 'earth','is', 'earth is' ,'surface','is surface','earth surface' , NUM, count 
 'queen','victoria', 'queen victoria' ,'born','victoria born','queen born' , NUM, date 
 'people','executed', 'people executed' ,'abraham','executed abraham','people abraham' , NUM, count 
 'worth','seeing', 'worth seeing' ,'reims','seeing reims','worth reims' , LOC, other 
 'mexican','leader', 'mexican leader' ,'shot','leader shot','mexican shot' , HUM, ind 
 'federal','minimum', 'federal minimum' ,'wage','minimum wage','federal wage' , NUM, money 
 'unemployment','statistics', 'unemployment statistics' ,'years','statistics years','unemployment years' , NUM, other 
 'female','painter', 'female painter' ,'produced','painter produced','female produced' , HUM, ind 
 'names','old', 'names old' ,'men','old men','names men' , HUM, ind 
 'horsepower','shuttle', 'horsepower shuttle' ,'boosters','shuttle boosters','horsepower boosters' , NUM, other 
 'year','did', 'year did' ,'apartheid','did apartheid','year apartheid' , NUM, date 
 'created','big', 'created big' ,'ben','big ben','created ben' , HUM, ind 
 'city','city', 'city city' ,'oz','city oz','city oz' , LOC, city 
 'populous','state', 'populous state' ,'covers','state covers','populous covers' , LOC, state 
 'state','11', 'state 11' ,'million','11 million','state million' , LOC, state 
 'did','aldous', 'did aldous' ,'huxley','aldous huxley','did huxley' , NUM, date 
 'country','did', 'country did' ,'ancient','did ancient','country ancient' , LOC, country 
 'long','longest', 'long longest' ,'hiccup','longest hiccup','long hiccup' , NUM, period 
 'people','live', 'people live' ,'tokyo','live tokyo','people tokyo' , NUM, count 
 'fruit-topped','actress', 'fruit-topped actress' ,'known','actress known','fruit-topped known' , HUM, ind 
 'played','title', 'played title' ,'role','title role','played role' , HUM, ind 
 'invented','game', 'invented game' ,'scrabble','game scrabble','invented scrabble' , HUM, ind 
 'did','humans', 'did humans' ,'begin','humans begin','did begin' , NUM, date 
 'city','us', 'city us' ,'experienced','us experienced','city experienced' , LOC, city 
 'tokyo','street', 'tokyo street' ,'glitters','street glitters','tokyo glitters' , LOC, other 
 'average','life', 'average life' ,'expectancy','life expectancy','average expectancy' , NUM, period 
 'mighty','mouse', 'mighty mouse' ,'conceived','mouse conceived','mighty conceived' , HUM, ind 
 'us','presidents', 'us presidents' ,'assassinated','presidents assassinated','us assassinated' , NUM, count 
 'flush','toilet', 'flush toilet' ,'invented','toilet invented','flush invented' , NUM, date 
 'nathan','hamill', 'nathan hamill' ,'is','hamill is','nathan is' , HUM, ind 
 'disks','does', 'disks does' ,'player','does player','disks player' , NUM, count 
 'percentage','children', 'percentage children' ,'ages','children ages','percentage ages' , NUM, perc 
 'years','ago', 'years ago' ,'did','ago did','years did' , NUM, count 
 'people','randy', 'people randy' ,'craft','randy craft','people craft' , NUM, count 
 'country','woo', 'country woo' ,'wu','woo wu','country wu' , LOC, country 
 'new','york', 'new york' ,'yankee','york yankee','new yankee' , HUM, ind 
 'considered','lady', 'considered lady' ,'american','lady american','considered american' , HUM, ind 
 'penned','', 'penned ' ,'',' ','penned ' , HUM, ind 
 'headed','hitler', 'headed hitler' ,'is','hitler is','headed is' , HUM, ind 
 'south','american', 'south american' ,'city','american city','south city' , LOC, city 
 'german','city', 'german city' ,'italians','city italians','german italians' , LOC, city 
 'island','group', 'island group' ,'contains','group contains','island contains' , LOC, other 
 'person','called', 'person called' ,'likes','called likes','person likes' , HUM, ind 
 'helium','discovered', 'helium discovered' ,'','discovered ','helium ' , LOC, other 
 'musical','plea', 'musical plea' ,'true','plea true','musical true' , HUM, ind 
 'french','designer', 'french designer' ,'declared','designer declared','french declared' , HUM, ind 
 'season','setting', 'season setting' ,'shakespeare','setting shakespeare','season shakespeare' , NUM, date 
 'comedian','banned', 'comedian banned' ,'ed','banned ed','comedian ed' , HUM, ind 
 'country','setting', 'country setting' ,'edgar','setting edgar','country edgar' , LOC, country 
 'apollo','11', 'apollo 11' ,'astronaut','11 astronaut','apollo astronaut' , HUM, ind 
 'current','ticket', 'current ticket' ,'fare','ticket fare','current fare' , NUM, money 
 'second','highest', 'second highest' ,'mountain','highest mountain','second mountain' , LOC, mount 
 'good','little', 'good little' ,'witch','little witch','good witch' , HUM, ind 
 'nickname','frederick', 'nickname frederick' ,'i','frederick i','nickname i' , HUM, ind 
 'month','', 'month ' ,'date',' date','month date' , NUM, date 
 'cubic','feet', 'cubic feet' ,'space','feet space','cubic space' , NUM, count 
 'what','is', 'what is' ,'world','is world','what world' , LOC, other 
 'european','countries', 'european countries' ,'begin','countries begin','european begin' , LOC, country 
 'earthworms','single', 'earthworms single' ,'pasture','single pasture','earthworms pasture' , NUM, count 
 'average','hourly', 'average hourly' ,'rate','hourly rate','average rate' , NUM, other 
 'who','is', 'who is' ,'founder','is founder','who founder' , HUM, ind 
 'year','did', 'year did' ,'build','did build','year build' , NUM, date 
 'governor','west', 'governor west' ,'virginia','west virginia','governor virginia' , HUM, ind 
 'what','is', 'what is' ,'world','is world','what world' , LOC, other 
 'asian','city', 'asian city' ,'boasts','city boasts','asian boasts' , LOC, city 
 'jean','aeul', 'jean aeul' ,'publish','aeul publish','jean publish' , NUM, date 
 'famous','soldier', 'famous soldier' ,'born','soldier born','famous born' , HUM, ind 
 'cities','population', 'cities population' ,'million','population million','cities million' , LOC, city 
 'constellation','contains', 'constellation contains' ,'twins','contains twins','constellation twins' , LOC, other 
 'famed','london', 'famed london' ,'criminal','london criminal','famed criminal' , LOC, other 
 'i','large', 'i large' ,'list','large list','i list' , LOC, other 
 'michael','jackson', 'michael jackson' ,'is','jackson is','michael is' , HUM, ind 
 'woman','fly', 'woman fly' ,'solo','fly solo','woman solo' , HUM, ind 
 'long','human', 'long human' ,'gestation','human gestation','long gestation' , NUM, period 
 'does','mother', 'does mother' ,'angelica','mother angelica','does angelica' , LOC, other 
 'what','is', 'what is' ,'population','is population','what population' , NUM, other 
 'started','dominos', 'started dominos' ,'pizza','dominos pizza','started pizza' , HUM, ind 
 'old','jeremy', 'old jeremy' ,'piven','jeremy piven','old piven' , NUM, period 
 'nba','players', 'nba players' ,'jersey','players jersey','nba jersey' , HUM, ind 
 'colored','squares', 'colored squares' ,'rubik','squares rubik','colored rubik' , NUM, count 
 'caribbean','island', 'caribbean island' ,'called','island called','caribbean called' , LOC, other 
 'i','lyrics', 'i lyrics' ,'song','lyrics song','i song' , LOC, other 
 'famous','movie', 'famous movie' ,'star','movie star','famous star' , HUM, ind 
 'australian','city', 'australian city' ,'home','city home','australian home' , LOC, city 
 'randy','craft', 'randy craft' ,'is','craft is','randy is' , HUM, ind 
 'river','does', 'river does' ,'grand','does grand','river grand' , LOC, other 
 'presidents','died', 'presidents died' ,'4th','died 4th','presidents 4th' , NUM, count 
 'person','called', 'person called' ,'likes','called likes','person likes' , HUM, ind 
 'portrayed','vincent', 'portrayed vincent' ,'van','vincent van','portrayed van' , HUM, ind 
 'reliable','site', 'reliable site' ,'i','site i','reliable i' , LOC, other 
 'season','begins', 'season begins' ,'vernal','begins vernal','season vernal' , NUM, date 
 'known','time', 'known time' ,'master','time master','known master' , HUM, ind 
 'did','cable', 'did cable' ,'cars','cable cars','did cars' , LOC, other 
 'george','lucas', 'george lucas' ,'is','lucas is','george is' , LOC, other 
 'said','', 'said ' ,'',' ','said ' , HUM, ind 
 'long','tyrannosaurus', 'long tyrannosaurus' ,'rex','tyrannosaurus rex','long rex' , NUM, dist 
 'who','is', 'who is' ,'man','is man','who man' , HUM, ind 
 'kenyan','city', 'kenyan city' ,'safari','city safari','kenyan safari' , LOC, city 
 'miss','india', 'miss india' ,'1994','india 1994','miss 1994' , HUM, ind 
 'us','states', 'us states' ,'active','states active','us active' , LOC, state 
 'second','man', 'second man' ,'walk','man walk','second walk' , HUM, ind 
 'major','victorian', 'major victorian' ,'novelist','victorian novelist','major novelist' , HUM, ind 
 'year','olympic', 'year olympic' ,'games','olympic games','year games' , NUM, date 
 'biggest','indian', 'biggest indian' ,'airports','indian airports','biggest airports' , LOC, other 
 'world','is', 'world is' ,'largest','is largest','world largest' , LOC, other 
 'internet','i', 'internet i' ,'information','i information','internet information' , LOC, other 
 'shea','&', 'shea &' ,'gould','& gould','shea gould' , NUM, count 
 'what','is', 'what is' ,'common','is common','what common' , HUM, ind 
 'long','does', 'long does' ,'typical','does typical','long typical' , NUM, period 
 'city','called', 'city called' ,'athens','called athens','city athens' , LOC, city 
 'did','bocci', 'did bocci' ,'originate','bocci originate','did originate' , LOC, other 
 'i','information', 'i information' ,'bob','information bob','i bob' , LOC, other 
 'electoral','votes', 'electoral votes' ,'does','votes does','electoral does' , NUM, count 
 'cities','dickens', 'cities dickens' ,'is','dickens is','cities is' , LOC, city 
 'year','movie', 'year movie' ,'commandments','movie commandments','year commandments' , NUM, date 
 'countries','best', 'countries best' ,'math','best math','countries math' , LOC, country 
 'beers','company', 'beers company' ,'founded','company founded','beers founded' , NUM, date 
 'black','performer', 'black performer' ,'network','performer network','black network' , HUM, ind 
 'date','bastille', 'date bastille' ,'day','bastille day','date day' , NUM, date 
 'did','freidreich', 'did freidreich' ,'wilhelm','freidreich wilhelm','did wilhelm' , LOC, other 
 'folic','acid', 'folic acid' ,'expectant','acid expectant','folic expectant' , NUM, count 
 'caffeine','16', 'caffeine 16' ,'oz','16 oz','caffeine oz' , NUM, count 
 'countries','south', 'countries south' ,'america','south america','countries america' , LOC, country 
 'columbia','tristar', 'columbia tristar' ,'is','tristar is','columbia is' , NUM, code 
 'did','princess', 'did princess' ,'diana','princess diana','did diana' , NUM, date 
 'country','did', 'country did' ,'hitler','did hitler','country hitler' , LOC, country 
 'directed','wild', 'directed wild' ,'bunch','wild bunch','directed bunch' , HUM, ind 
 'orange','bowl', 'orange bowl' ,'city','bowl city','orange city' , LOC, city 
 'comedian','born', 'comedian born' ,'allen','born allen','comedian allen' , HUM, ind 
 'state','herbert', 'state herbert' ,'hoover','herbert hoover','state hoover' , LOC, state 
 'fiddlers','did', 'fiddlers did' ,'old','did old','fiddlers old' , NUM, count 
 'poet','wrote', 'poet wrote' ,'','wrote ','poet ' , HUM, ind 
 'long','flies', 'long flies' ,'live','flies live','long live' , NUM, period 
 'runs','andy', 'runs andy' ,'capp','andy capp','runs capp' , HUM, ind 
 'state','produces', 'state produces' ,'best','produces best','state best' , LOC, state 
 'times','day', 'times day' ,'does','day does','times does' , NUM, count 
 'islands','got', 'islands got' ,'spanish','got spanish','islands spanish' , LOC, other 
 'author','days', 'author days' ,'lives','days lives','author lives' , HUM, ind 
 'president','assassinated', 'president assassinated' ,'charles','assassinated charles','president charles' , HUM, ind 
 'comic','tv', 'comic tv' ,'is','tv is','comic is' , HUM, ind 
 'feet','long', 'feet long' ,'baseball','long baseball','feet baseball' , NUM, count 
 'nationality','jackson', 'nationality jackson' ,'pollock','jackson pollock','nationality pollock' , LOC, country 
 'invented','game', 'invented game' ,'bowling','game bowling','invented bowling' , HUM, ind 
 'times','larger', 'times larger' ,'life','larger life','times life' , NUM, count 
 'country','hitler', 'country hitler' ,'ruled','hitler ruled','country ruled' , LOC, country 
 'long','does', 'long does' ,'human','does human','long human' , NUM, period 
 'i','us', 'i us' ,'economic','us economic','i economic' , LOC, other 
 'superbowls','ers', 'superbowls ers' ,'won','ers won','superbowls won' , NUM, count 
 'creator','of', 'creator of' ,'','of ','creator ' , HUM, ind 
 'following','celebrities', 'following celebrities' ,'started','celebrities started','following started' , HUM, ind 
 'what','is', 'what is' ,'perfect','is perfect','what perfect' , NUM, other 
 'what','is', 'what is' ,'capital','is capital','what capital' , LOC, city 
 'asked','loco-motion', 'asked loco-motion' ,'1962','loco-motion 1962','asked 1962' , HUM, ind 
 'president','served', 'president served' ,'years','served years','president years' , HUM, ind 
 'drew','barrymore', 'drew barrymore' ,'is','barrymore is','drew is' , HUM, ind 
 'supergirl','is', 'supergirl is' ,'secret','is secret','supergirl secret' , HUM, ind 
 'federal','government', 'federal government' ,'website','government website','federal website' , LOC, other 
 'police','officer', 'police officer' ,'tried','officer tried','police tried' , HUM, ind 
 'date','did', 'date did' ,'rosa','did rosa','date rosa' , NUM, date 
 'highest-paying','odds', 'highest-paying odds' ,'roulette','odds roulette','highest-paying roulette' , NUM, perc 
 'year','did', 'year did' ,'marine','did marine','year marine' , NUM, date 
 'films','did', 'films did' ,'ingmar','did ingmar','films ingmar' , NUM, count 
 'greek','god', 'greek god' ,'sea','god sea','greek sea' , HUM, ind 
 'well-known','music', 'well-known music' ,'personality','music personality','well-known personality' , HUM, ind 
 'woman','governor', 'woman governor' ,'wyoming','governor wyoming','woman wyoming' , HUM, ind 
 'weeks','winter', 'weeks winter' ,'ground','winter ground','weeks ground' , NUM, count 
 'green','bay', 'green bay' ,'packers','bay packers','green packers' , HUM, ind 
 'henry','ford', 'henry ford' ,'museum','ford museum','henry museum' , LOC, other 
 'year','did', 'year did' ,'nylon','did nylon','year nylon' , NUM, date 
 '10','largest', '10 largest' ,'cities','largest cities','10 cities' , LOC, city 
 'famous','comedian', 'famous comedian' ,'recently','comedian recently','famous recently' , HUM, ind 
 'drew','barrymore', 'drew barrymore' ,'is','barrymore is','drew is' , LOC, other 
 'nationality','123', 'nationality 123' ,'people','123 people','nationality people' , LOC, country 
 'tv','family', 'tv family' ,'buys','family buys','tv buys' , HUM, ind 
 'enigmatic','us', 'enigmatic us' ,'vice','us vice','enigmatic vice' , HUM, ind 
 'charles','lindbergh', 'charles lindbergh' ,'is','lindbergh is','charles is' , HUM, ind 
 'sings','angel', 'sings angel' ,'eyes','angel eyes','sings eyes' , HUM, ind 
 'did','jurassic', 'did jurassic' ,'period','jurassic period','did period' , NUM, date 
 'date','iraq', 'date iraq' ,'is','iraq is','date is' , NUM, date 
 'planet','ewoks', 'planet ewoks' ,'live','ewoks live','planet live' , LOC, other 
 'dumb-but-loveable','character', 'dumb-but-loveable character' ,'did','character did','dumb-but-loveable did' , HUM, ind 
