 @RELATION examen

@ATTRIBUTE pregunta1 string
@ATTRIBUTE pregunta2 string
@ATTRIBUTE pregunta3 string
@ATTRIBUTE pregunta4 string
@ATTRIBUTE pregunta5 string
@ATTRIBUTE pregunta6 string
@ATTRIBUTE tipo {HUM,NUM,LOC}
@ATTRIBUTE subTipo {ind,date,ord,state,other,count,country,city,mount,money,period,volsize,temp,dist,weight,perc,speed,code}

@DATA 
 'does','president', 'does president' ,'paid','president paid','does paid' ,NUM,money 
 'what','baseball', 'what baseball' ,'players','baseball players','what players' ,HUM,ind 
 'children','ages', 'children ages' ,'eleven','ages eleven','children eleven' ,NUM,perc 
 'what','is', 'what is' ,'northernmost','is northernmost','what northernmost' ,LOC,state 
 'gallery','new', 'gallery new' ,'york','new york','gallery york' ,LOC,other 
 'who','sells', 'who sells' ,'viagra','sells viagra','who viagra' ,HUM,ind 
 'what','building', 'what building' ,'british','building british','what british' ,LOC,other 
 'who','did', 'who did' ,'dita','did dita','who dita' ,HUM,ind 
 'what','country', 'what country' ,'use','country use','what use' ,LOC,country 
 'who','served', 'who served' ,'inspiration','served inspiration','who inspiration' ,HUM,ind 
 'what','columbia', 'what columbia' ,'tristar','columbia tristar','what tristar' ,NUM,code 
 'original','seven', 'original seven' ,'mercury','seven mercury','original mercury' ,HUM,ind 
 'who','best', 'who best' ,'known','best known','who known' ,HUM,ind 
 'what','capital', 'what capital' ,'burkina','capital burkina','what burkina' ,LOC,city 
 'what','continent', 'what continent' ,'bolivia','continent bolivia','what bolivia' ,LOC,other 
 'who','killed', 'who killed' ,'people','killed people','who people' ,HUM,ind 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'what','us', 'what us' ,'highway','us highway','what highway' ,NUM,count 
 'what','mustachioed', 'what mustachioed' ,'comedian','mustachioed comedian','what comedian' ,HUM,ind 
 'what','does', 'what does' ,'utilities','does utilities','what utilities' ,NUM,money 
 'what','actor', 'what actor' ,'world','actor world','what world' ,HUM,ind 
 'what','city', 'what city' ,'called','city called','what called' ,LOC,city 
 'who','portrayed', 'who portrayed' ,'dracula','portrayed dracula','who dracula' ,HUM,ind 
 'when','fish', 'when fish' ,'believed','fish believed','when believed' ,NUM,date 
 'what','president', 'what president' ,'is','president is','what is' ,HUM,ind 
 'elevators','ride', 'elevators ride' ,'reach','ride reach','elevators reach' ,NUM,count 
 'what','country', 'what country' ,'sir','country sir','what sir' ,LOC,country 
 'what','city', 'what city' ,'john','city john','what john' ,LOC,city 
 'long','does', 'long does' ,'dog','does dog','long dog' ,NUM,period 
 'what','fined', 'what fined' ,'having','fined having','what having' ,NUM,money 
 'where','did', 'where did' ,'battle','did battle','where battle' ,LOC,other 
 'california','year', 'california year' ,'2000','year 2000','california 2000' ,NUM,count 
 'what','mystery', 'what mystery' ,'writer','mystery writer','what writer' ,HUM,ind 
 'what','state', 'what state' ,'milk','state milk','what milk' ,LOC,state 
 'what','tallest', 'what tallest' ,'building','tallest building','what building' ,LOC,other 
 'where','sinn', 'where sinn' ,'fein','sinn fein','where fein' ,LOC,other 
 'iraqis','launched', 'iraqis launched' ,'attack','launched attack','iraqis attack' ,NUM,date 
 'what','country', 'what country' ,'is','country is','what is' ,LOC,country 
 'what','sound', 'what sound' ,'does','sound does','what does' ,LOC,other 
 'what','kentucky', 'what kentucky' ,'city','kentucky city','what city' ,LOC,city 
 'penny-farthings','trivial', 'penny-farthings trivial' ,'pursuit','trivial pursuit','penny-farthings pursuit' ,NUM,count 
 'what','european', 'what european' ,'country','european country','what country' ,LOC,country 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'where','cisalpine', 'where cisalpine' ,'republic','cisalpine republic','where republic' ,LOC,other 
 'what','largest', 'what largest' ,'shopping','largest shopping','what shopping' ,LOC,other 
 'what','protagonist', 'what protagonist' ,'is','protagonist is','what is' ,HUM,ind 
 'what','presidential', 'what presidential' ,'press','presidential press','what press' ,HUM,ind 
 'who','original', 'who original' ,'humpty','original humpty','who humpty' ,HUM,ind 
 'where','location', 'where location' ,'orange','location orange','where orange' ,LOC,other 
 'when','president', 'when president' ,'nixon','president nixon','when nixon' ,NUM,date 
 'what','seven', 'what seven' ,'seas','seven seas','what seas' ,LOC,other 
 'what','is', 'what is' ,'popeye','is popeye','what popeye' ,HUM,ind 
 'who','invented', 'who invented' ,'vacuum','invented vacuum','who vacuum' ,HUM,ind 
 'what','2th-century', 'what 2th-century' ,'fictional','2th-century fictional','what fictional' ,HUM,ind 
 'people','usa', 'people usa' ,'say','usa say','people say' ,NUM,count 
 'who','does', 'who does' ,'shakespeare','does shakespeare','who shakespeare' ,HUM,ind 
 'country','known', 'country known' ,'as','known as','country as' ,LOC,country 
 'times','day', 'times day' ,'prescription','day prescription','times prescription' ,NUM,count 
 'who','voyager', 'who voyager' ,'project','voyager project','who project' ,HUM,ind 
 'what','commanders', 'what commanders' ,'directed','commanders directed','what directed' ,HUM,ind 
 'creator','of', 'creator of' ,'','of ','creator ' ,HUM,ind 
 'who','replies', 'who replies' ,'','replies ','who ' ,HUM,ind 
 'what','is', 'what is' ,'home','is home','what home' ,LOC,other 
 'where','i', 'where i' ,'information','i information','where information' ,LOC,other 
 'who','won', 'who won' ,'1967','won 1967','who 1967' ,HUM,ind 
 'private','citizen', 'private citizen' ,'fly','citizen fly','private fly' ,HUM,ind 
 'what','football', 'what football' ,'star','football star','what star' ,HUM,ind 
 'what','singer', 'what singer' ,'sings','singer sings','what sings' ,HUM,ind 
 'pizza','americans', 'pizza americans' ,'eat','americans eat','pizza eat' ,NUM,count 
 'what','website', 'what website' ,'usa','website usa','what usa' ,LOC,other 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'what','state', 'what state' ,'is','state is','what is' ,LOC,state 
 'fast','cheetahs', 'fast cheetahs' ,'run','cheetahs run','fast run' ,NUM,speed 
 'fast','45mhz', 'fast 45mhz' ,'processor','45mhz processor','fast processor' ,NUM,speed 
 'what','count', 'what count' ,'did','count did','what did' ,HUM,ind 
 'what','odds', 'what odds' ,'giving','odds giving','what giving' ,NUM,perc 
 'what','largest', 'what largest' ,'natural','largest natural','what natural' ,LOC,other 
 'far','london', 'far london' ,'uk','london uk','far uk' ,NUM,dist 
 'years','old', 'years old' ,'benny','old benny','years benny' ,NUM,count 
 'where','does', 'where does' ,'santa','does santa','where santa' ,LOC,other 
 'city','canada', 'city canada' ,'least-populated','canada least-populated','city least-populated' ,LOC,city 
 'old','stevie', 'old stevie' ,'wonder','stevie wonder','old wonder' ,NUM,period 
 'who','taiwanese', 'who taiwanese' ,'president','taiwanese president','who president' ,HUM,ind 
 'who','luke', 'who luke' ,'skywalker','luke skywalker','who skywalker' ,HUM,ind 
 'where','isle', 'where isle' ,'man','isle man','where man' ,LOC,other 
 'what','death', 'what death' ,'toll','death toll','what toll' ,NUM,other 
 'when','millennium', 'when millennium' ,'officially','millennium officially','when officially' ,NUM,date 
 'who','created', 'who created' ,'comic','created comic','who comic' ,HUM,ind 
 'vietnamese','terrorist', 'vietnamese terrorist' ,'delegate','terrorist delegate','vietnamese delegate' ,HUM,ind 
 'what','imaginary', 'what imaginary' ,'line','imaginary line','what line' ,LOC,other 
 'what','country', 'what country' ,'is','country is','what is' ,LOC,country 
 'where','does', 'where does' ,'ray','does ray','where ray' ,LOC,other 
 'who','current', 'who current' ,'prime','current prime','who prime' ,HUM,ind 
 'who','established', 'who established' ,'viking','established viking','who viking' ,HUM,ind 
 'what','latitude', 'what latitude' ,'longitude','latitude longitude','what longitude' ,NUM,other 
 'where','i', 'where i' ,'information','i information','where information' ,LOC,other 
 'where','did', 'where did' ,'honecker','did honecker','where honecker' ,LOC,other 
 'what','life', 'what life' ,'span','life span','what span' ,NUM,period 
 'member','states', 'member states' ,'un','states un','member un' ,NUM,count 
 'who','shot', 'who shot' ,'killed','shot killed','who killed' ,HUM,ind 
 'what','future', 'what future' ,'president','future president','what president' ,HUM,ind 
 'who','architect', 'who architect' ,'central','architect central','who central' ,HUM,ind 
 'what','dimensions', 'what dimensions' ,'ice','dimensions ice','what ice' ,NUM,dist 
 'when','cnn', 'when cnn' ,'is','cnn is','when is' ,NUM,date 
 'what','african', 'what african' ,'country','african country','what country' ,LOC,country 
 'what','christian', 'what christian' ,'title','christian title','what title' ,HUM,ind 
 'what','hard-hearing', 'what hard-hearing' ,'artist','hard-hearing artist','what artist' ,HUM,ind 
 'who','wrote', 'who wrote' ,'sons','wrote sons','who sons' ,HUM,ind 
 'what','french', 'what french' ,'seaport','french seaport','what seaport' ,LOC,city 
 'long','does', 'long does' ,'sunlight','does sunlight','long sunlight' ,NUM,period 
 'what','cherokee', 'what cherokee' ,'indian','cherokee indian','what indian' ,HUM,ind 
 'when','camcorders', 'when camcorders' ,'introduced','camcorders introduced','when introduced' ,NUM,date 
 'what','chance', 'what chance' ,'conceiving','chance conceiving','what conceiving' ,NUM,perc 
 'who','star', 'who star' ,'leave','star leave','who leave' ,HUM,ind 
 'what','countries', 'what countries' ,'largest','countries largest','what largest' ,LOC,country 
 'what','william', 'what william' ,'f','william f','what f' ,HUM,ind 
 'who','did', 'who did' ,'richard','did richard','who richard' ,HUM,ind 
 'following','rock', 'following rock' ,'n','rock n','following n' ,HUM,ind 
 'what','exchange', 'what exchange' ,'rate','exchange rate','what rate' ,NUM,money 
 'states','did', 'states did' ,'richard','did richard','states richard' ,NUM,count 
 'shillings','2', 'shillings 2' ,'guinea','2 guinea','shillings guinea' ,NUM,count 
 'who','took', 'who took' ,'conductor','took conductor','who conductor' ,HUM,ind 
 'what','nazi', 'what nazi' ,'leader','nazi leader','what leader' ,HUM,ind 
 'what','brand', 'what brand' ,'number','brand number','what number' ,NUM,other 
 'what','city', 'what city' ,'terrorized','city terrorized','what terrorized' ,LOC,city 
 'who','fastest', 'who fastest' ,'guitarist','fastest guitarist','who guitarist' ,HUM,ind 
 'what','best', 'what best' ,'hospital','best hospital','what hospital' ,LOC,other 
 'who','betrayed', 'who betrayed' ,'norway','betrayed norway','who norway' ,HUM,ind 
 'who','took', 'who took' ,'toys','took toys','who toys' ,HUM,ind 
 'who','stationed', 'who stationed' ,'camp','stationed camp','who camp' ,HUM,ind 
 'what','year', 'what year' ,'did','year did','what did' ,NUM,date 
 'what','actor', 'what actor' ,'dressed','actor dressed','what dressed' ,HUM,ind 
 'long','did', 'long did' ,'stanley','did stanley','long stanley' ,NUM,period 
 'nation','is', 'nation is' ,'children','is children','nation children' ,NUM,count 
 'what','lake', 'what lake' ,'sheboygan','lake sheboygan','what sheboygan' ,LOC,other 
 'what','largest', 'what largest' ,'lake','largest lake','what lake' ,LOC,other 
 'people','died', 'people died' ,'smoking','died smoking','people smoking' ,NUM,count 
 'who','wrote', 'who wrote' ,'look','wrote look','who look' ,HUM,ind 
 'what','american', 'what american' ,'swimmer','american swimmer','what swimmer' ,HUM,ind 
 'who','claims', 'who claims' ,'greatest','claims greatest','who greatest' ,HUM,ind 
 'what','honeymooners', 'what honeymooners' ,'actress','honeymooners actress','what actress' ,HUM,ind 
 'what','role', 'what role' ,'medieval','role medieval','what medieval' ,HUM,ind 
 'silly','putty', 'silly putty' ,'invented','putty invented','silly invented' ,HUM,ind 
 'who','invented', 'who invented' ,'paper','invented paper','who paper' ,HUM,ind 
 'did','lauren', 'did lauren' ,'bacall','lauren bacall','did bacall' ,HUM,ind 
 'times','16-year', 'times 16-year' ,'national','16-year national','times national' ,NUM,count 
 'what','city', 'what city' ,'state','city state','what state' ,LOC,city 
 'shea','gould', 'shea gould' ,'office','gould office','shea office' ,NUM,period 
 'what','year', 'what year' ,'did','year did','what did' ,NUM,date 
 'what','composer', 'what composer' ,'awarded','composer awarded','what awarded' ,HUM,ind 
 'url','extensions', 'url extensions' ,'there','extensions there','url there' ,NUM,count 
 'long','intercourse', 'long intercourse' ,'does','intercourse does','long does' ,NUM,period 
 'who','created', 'who created' ,'fantastic','created fantastic','who fantastic' ,HUM,ind 
 'who','composer', 'who composer' ,'of','composer of','who of' ,HUM,ind 
 'where','european', 'where european' ,'american','european american','where american' ,LOC,other 
 'who','author', 'who author' ,'novel','author novel','who novel' ,HUM,ind 
 'what','department', 'what department' ,'store','department store','what store' ,HUM,ind 
 'what','town', 'what town' ,'chartered','town chartered','what chartered' ,LOC,city 
 'what','state', 'what state' ,'longest','state longest','what longest' ,LOC,state 
 'what','us', 'what us' ,'state','us state','what state' ,LOC,state 
 'varieties','twins', 'varieties twins' ,'there','twins there','varieties there' ,NUM,count 
 'what','largest', 'what largest' ,'libraries','largest libraries','what libraries' ,LOC,other 
 'people','live', 'people live' ,'falklands','live falklands','people falklands' ,NUM,count 
 'who','camp', 'who camp' ,'david','camp david','who david' ,HUM,ind 
 'who','portrayed', 'who portrayed' ,'','portrayed ','who ' ,HUM,ind 
 'money','minimum', 'money minimum' ,'wage','minimum wage','money wage' ,NUM,money 
 'what','year', 'what year' ,'patent','year patent','what patent' ,NUM,date 
 'what','country', 'what country' ,'boasts','country boasts','what boasts' ,LOC,country 
 'what','regular', 'what regular' ,'price','regular price','what price' ,NUM,money 
 'what','metropolis', 'what metropolis' ,'landmark','metropolis landmark','what landmark' ,LOC,other 
 'what','city', 'what city' ,'declaration','city declaration','what declaration' ,LOC,city 
 'who','won', 'who won' ,'world','won world','who world' ,HUM,ind 
 'who','credited', 'who credited' ,'saying','credited saying','who saying' ,HUM,ind 
 'what','nationality', 'what nationality' ,'jackson','nationality jackson','what jackson' ,LOC,country 
 'earth','is', 'earth is' ,'surface','is surface','earth surface' ,NUM,count 
 'when','queen', 'when queen' ,'victoria','queen victoria','when victoria' ,NUM,date 
 'people','executed', 'people executed' ,'abraham','executed abraham','people abraham' ,NUM,count 
 'what','worth', 'what worth' ,'seeing','worth seeing','what seeing' ,LOC,other 
 'when','yemen', 'when yemen' ,'reunified','yemen reunified','when reunified' ,NUM,date 
 'what','mexican', 'what mexican' ,'leader','mexican leader','what leader' ,HUM,ind 
 'what','federal', 'what federal' ,'minimum','federal minimum','what minimum' ,NUM,money 
 'what','unemployment', 'what unemployment' ,'statistics','unemployment statistics','what statistics' ,NUM,other 
 'where','santa', 'where santa' ,'lucia','santa lucia','where lucia' ,LOC,other 
 'what','female', 'what female' ,'painter','female painter','what painter' ,HUM,ind 
 'what','names', 'what names' ,'old','names old','what old' ,HUM,ind 
 'what','horsepower', 'what horsepower' ,'shuttle','horsepower shuttle','what shuttle' ,NUM,other 
 'what','year', 'what year' ,'did','year did','what did' ,NUM,date 
 'who','created', 'who created' ,'big','created big','who big' ,HUM,ind 
 'what','city', 'what city' ,'city','city city','what city' ,LOC,city 
 'what','populous', 'what populous' ,'state','populous state','what state' ,LOC,state 
 'what','state', 'what state' ,'11','state 11','what 11' ,LOC,state 
 'when','did', 'when did' ,'aldous','did aldous','when aldous' ,NUM,date 
 'what','country', 'what country' ,'did','country did','what did' ,LOC,country 
 'long','longest', 'long longest' ,'hiccup','longest hiccup','long hiccup' ,NUM,period 
 'people','live', 'people live' ,'tokyo','live tokyo','people tokyo' ,NUM,count 
 'what','fruit-topped', 'what fruit-topped' ,'actress','fruit-topped actress','what actress' ,HUM,ind 
 'who','played', 'who played' ,'title','played title','who title' ,HUM,ind 
 'who','invented', 'who invented' ,'game','invented game','who game' ,HUM,ind 
 'when','did', 'when did' ,'humans','did humans','when humans' ,NUM,date 
 'what','city', 'what city' ,'us','city us','what us' ,LOC,city 
 'what','tokyo', 'what tokyo' ,'street','tokyo street','what street' ,LOC,other 
 'what','average', 'what average' ,'life','average life','what life' ,NUM,period 
 'when','mighty', 'when mighty' ,'mouse','mighty mouse','when mouse' ,HUM,ind 
 'us','presidents', 'us presidents' ,'assassinated','presidents assassinated','us assassinated' ,NUM,count 
 'when','flush', 'when flush' ,'toilet','flush toilet','when toilet' ,NUM,date 
 'what','nathan', 'what nathan' ,'hamill','nathan hamill','what hamill' ,HUM,ind 
 'disks','does', 'disks does' ,'player','does player','disks player' ,NUM,count 
 'what','percentage', 'what percentage' ,'children','percentage children','what children' ,NUM,perc 
 'years','ago', 'years ago' ,'did','ago did','years did' ,NUM,count 
 'people','randy', 'people randy' ,'craft','randy craft','people craft' ,NUM,count 
 'what','country', 'what country' ,'woo','country woo','what woo' ,LOC,country 
 'what','new', 'what new' ,'york','new york','what york' ,HUM,ind 
 'who','considered', 'who considered' ,'lady','considered lady','who lady' ,HUM,ind 
 'who','penned', 'who penned' ,':','penned :','who :' ,HUM,ind 
 'who','headed', 'who headed' ,'hitler','headed hitler','who hitler' ,HUM,ind 
 'what','south', 'what south' ,'american','south american','what american' ,LOC,city 
 'what','german', 'what german' ,'city','german city','what city' ,LOC,city 
 'what','island', 'what island' ,'group','island group','what group' ,LOC,other 
 'what','person', 'what person' ,'called','person called','what called' ,HUM,ind 
 'where','helium', 'where helium' ,'discovered','helium discovered','where discovered' ,LOC,other 
 'who','musical', 'who musical' ,'plea','musical plea','who plea' ,HUM,ind 
 'what','french', 'what french' ,'designer','french designer','what designer' ,HUM,ind 
 'what','season', 'what season' ,'setting','season setting','what setting' ,NUM,date 
 'what','comedian', 'what comedian' ,'banned','comedian banned','what banned' ,HUM,ind 
 'what','country', 'what country' ,'setting','country setting','what setting' ,LOC,country 
 'what','apollo', 'what apollo' ,'11','apollo 11','what 11' ,HUM,ind 
 'what','current', 'what current' ,'ticket','current ticket','what ticket' ,NUM,money 
 'what','second', 'what second' ,'highest','second highest','what highest' ,LOC,mount 
 'what','good', 'what good' ,'little','good little','what little' ,HUM,ind 
 'what','nickname', 'what nickname' ,'frederick','nickname frederick','what frederick' ,HUM,ind 
 'what','month', 'what month' ,'','month ','what ' ,NUM,date 
 'cubic','feet', 'cubic feet' ,'space','feet space','cubic space' ,NUM,count 
 'what','is', 'what is' ,'world','is world','what world' ,LOC,other 
 'what','european', 'what european' ,'countries','european countries','what countries' ,LOC,country 
 'earthworms','single', 'earthworms single' ,'pasture','single pasture','earthworms pasture' ,NUM,count 
 'what','average', 'what average' ,'hourly','average hourly','what hourly' ,NUM,other 
 'who','is', 'who is' ,'founder','is founder','who founder' ,HUM,ind 
 'what','year', 'what year' ,'did','year did','what did' ,NUM,date 
 'who','governor', 'who governor' ,'west','governor west','who west' ,HUM,ind 
 'what','is', 'what is' ,'world','is world','what world' ,LOC,other 
 'what','asian', 'what asian' ,'city','asian city','what city' ,LOC,city 
 'when','jean', 'when jean' ,'aeul','jean aeul','when aeul' ,NUM,date 
 'what','famous', 'what famous' ,'soldier','famous soldier','what soldier' ,HUM,ind 
 'what','cities', 'what cities' ,'population','cities population','what population' ,LOC,city 
 'what','constellation', 'what constellation' ,'contains','constellation contains','what contains' ,LOC,other 
 'what','famed', 'what famed' ,'london','famed london','what london' ,LOC,other 
 'where','did', 'where did' ,'title','did title','where title' ,LOC,other 
 'where','i', 'where i' ,'large','i large','where large' ,LOC,other 
 'what','michael', 'what michael' ,'jackson','michael jackson','what jackson' ,HUM,ind 
 'who','woman', 'who woman' ,'fly','woman fly','who fly' ,HUM,ind 
 'long','human', 'long human' ,'gestation','human gestation','long gestation' ,NUM,period 
 'where','does', 'where does' ,'mother','does mother','where mother' ,LOC,other 
 'what','is', 'what is' ,'population','is population','what population' ,NUM,other 
 'who','started', 'who started' ,'dominos','started dominos','who dominos' ,HUM,ind 
 'old','jeremy', 'old jeremy' ,'piven','jeremy piven','old piven' ,NUM,period 
 'nba','players', 'nba players' ,'jersey','players jersey','nba jersey' ,HUM,ind 
 'colored','squares', 'colored squares' ,'rubik','squares rubik','colored rubik' ,NUM,count 
 'where','mayo', 'where mayo' ,'clinic','mayo clinic','where clinic' ,LOC,other 
 'what','caribbean', 'what caribbean' ,'island','caribbean island','what island' ,LOC,other 
 'where','i', 'where i' ,'lyrics','i lyrics','where lyrics' ,LOC,other 
 'who','famous', 'who famous' ,'movie','famous movie','who movie' ,HUM,ind 
 'what','australian', 'what australian' ,'city','australian city','what city' ,LOC,city 
 'randy','craft', 'randy craft' ,'is','craft is','randy is' ,HUM,ind 
 'what','river', 'what river' ,'does','river does','what does' ,LOC,other 
 'presidents','died', 'presidents died' ,'4th','died 4th','presidents 4th' ,NUM,count 
 'what','person', 'what person' ,'called','person called','what called' ,HUM,ind 
 'who','portrayed', 'who portrayed' ,'vincent','portrayed vincent','who vincent' ,HUM,ind 
 'what','reliable', 'what reliable' ,'site','reliable site','what site' ,LOC,other 
 'what','season', 'what season' ,'begins','season begins','what begins' ,NUM,date 
 'who','known', 'who known' ,'time','known time','who time' ,HUM,ind 
 'where','did', 'where did' ,'cable','did cable','where cable' ,LOC,other 
 'what','george', 'what george' ,'lucas','george lucas','what lucas' ,LOC,other 
 'who','father', 'who father' ,'computer','father computer','who computer' ,HUM,ind 
 'who','said', 'who said' ,':','said :','who :' ,HUM,ind 
 'long','tyrannosaurus', 'long tyrannosaurus' ,'rex','tyrannosaurus rex','long rex' ,NUM,dist 
 'who','is', 'who is' ,'man','is man','who man' ,HUM,ind 
 'what','kenyan', 'what kenyan' ,'city','kenyan city','what city' ,LOC,city 
 'what','miss', 'what miss' ,'india','miss india','what india' ,HUM,ind 
 'what','us', 'what us' ,'states','us states','what states' ,LOC,state 
 'who','second', 'who second' ,'man','second man','who man' ,HUM,ind 
 'what','major', 'what major' ,'victorian','major victorian','what victorian' ,HUM,ind 
 'what','year', 'what year' ,'olympic','year olympic','what olympic' ,NUM,date 
 'what','biggest', 'what biggest' ,'indian','biggest indian','what indian' ,LOC,other 
 'what','world', 'what world' ,'is','world is','what is' ,LOC,other 
 'where','internet', 'where internet' ,'i','internet i','where i' ,LOC,other 
 'shea','&', 'shea &' ,'gould','& gould','shea gould' ,NUM,count 
 'what','is', 'what is' ,'common','is common','what common' ,HUM,ind 
 'long','does', 'long does' ,'typical','does typical','long typical' ,NUM,period 
 'what','city', 'what city' ,'called','city called','what called' ,LOC,city 
 'where','did', 'where did' ,'bocci','did bocci','where bocci' ,LOC,other 
 'where','i', 'where i' ,'information','i information','where information' ,LOC,other 
 'what','frequency', 'what frequency' ,'vhf','frequency vhf','what vhf' ,NUM,other 
 'electoral','votes', 'electoral votes' ,'does','votes does','electoral does' ,NUM,count 
 'what','cities', 'what cities' ,'dickens','cities dickens','what dickens' ,LOC,city 
 'what','year', 'what year' ,'movie','year movie','what movie' ,NUM,date 
 'what','countries', 'what countries' ,'best','countries best','what best' ,LOC,country 
 'when','beers', 'when beers' ,'company','beers company','when company' ,NUM,date 
 'who','black', 'who black' ,'performer','black performer','who performer' ,HUM,ind 
 'what','date', 'what date' ,'bastille','date bastille','what bastille' ,NUM,date 
 'where','did', 'where did' ,'freidreich','did freidreich','where freidreich' ,LOC,other 
 'folic','acid', 'folic acid' ,'expectant','acid expectant','folic expectant' ,NUM,count 
 'caffeine','16', 'caffeine 16' ,'oz','16 oz','caffeine oz' ,NUM,count 
 'what','countries', 'what countries' ,'south','countries south','what south' ,LOC,country 
 'what','columbia', 'what columbia' ,'tristar','columbia tristar','what tristar' ,NUM,code 
 'when','did', 'when did' ,'princess','did princess','when princess' ,NUM,date 
 'country','did', 'country did' ,'hitler','did hitler','country hitler' ,LOC,country 
 'who','directed', 'who directed' ,'wild','directed wild','who wild' ,HUM,ind 
 'orange','bowl', 'orange bowl' ,'what','bowl what','orange what' ,LOC,city 
 'what','comedian', 'what comedian' ,'born','comedian born','what born' ,HUM,ind 
 'what','state', 'what state' ,'herbert','state herbert','what herbert' ,LOC,state 
 'fiddlers','did', 'fiddlers did' ,'old','did old','fiddlers old' ,NUM,count 
 'what','poet', 'what poet' ,'wrote','poet wrote','what wrote' ,HUM,ind 
 'what','population', 'what population' ,'india','population india','what india' ,NUM,count 
 'long','flies', 'long flies' ,'live','flies live','long live' ,NUM,period 
 'who','runs', 'who runs' ,'andy','runs andy','who andy' ,HUM,ind 
 'what','state', 'what state' ,'produces','state produces','what produces' ,LOC,state 
 'times','day', 'times day' ,'does','day does','times does' ,NUM,count 
 'what','islands', 'what islands' ,'got','islands got','what got' ,LOC,other 
 'what','author', 'what author' ,'days','author days','what days' ,HUM,ind 
 'what','president', 'what president' ,'assassinated','president assassinated','what assassinated' ,HUM,ind 
 'what','comic', 'what comic' ,'tv','comic tv','what tv' ,HUM,ind 
 'feet','long', 'feet long' ,'baseball','long baseball','feet baseball' ,NUM,count 
 'what','nationality', 'what nationality' ,'jackson','nationality jackson','what jackson' ,LOC,country 
 'who','invented', 'who invented' ,'game','invented game','who game' ,HUM,ind 
 'times','larger', 'times larger' ,'life','larger life','times life' ,NUM,count 
 'what','country', 'what country' ,'hitler','country hitler','what hitler' ,LOC,country 
 'long','does', 'long does' ,'human','does human','long human' ,NUM,period 
 'where','i', 'where i' ,'us','i us','where us' ,LOC,other 
 'superbowls','ers', 'superbowls ers' ,'won','ers won','superbowls won' ,NUM,count 
 'who','creator', 'who creator' ,'of','creator of','who of' ,HUM,ind 
 'following','celebrities', 'following celebrities' ,'started','celebrities started','following started' ,HUM,ind 
 'what','is', 'what is' ,'perfect','is perfect','what perfect' ,NUM,other 
 'what','is', 'what is' ,'capital','is capital','what capital' ,LOC,city 
 'who','asked', 'who asked' ,'loco-motion','asked loco-motion','who loco-motion' ,HUM,ind 
 'what','president', 'what president' ,'served','president served','what served' ,HUM,ind 
 'what','drew', 'what drew' ,'barrymore','drew barrymore','what barrymore' ,HUM,ind 
 'what','supergirl', 'what supergirl' ,'is','supergirl is','what is' ,HUM,ind 
 'what','federal', 'what federal' ,'government','federal government','what government' ,LOC,other 
 'what','police', 'what police' ,'officer','police officer','what officer' ,HUM,ind 
 'what','date', 'what date' ,'did','date did','what did' ,NUM,date 
 'what','highest-paying', 'what highest-paying' ,'odds','highest-paying odds','what odds' ,NUM,perc 
 'what','year', 'what year' ,'did','year did','what did' ,NUM,date 
 'films','did', 'films did' ,'ingmar','did ingmar','films ingmar' ,NUM,count 
 'who','greek', 'who greek' ,'god','greek god','who god' ,HUM,ind 
 'what','well-known', 'what well-known' ,'music','well-known music','what music' ,HUM,ind 
 'when','barbie', 'when barbie' ,'produced','barbie produced','when produced' ,NUM,date 
 'who','woman', 'who woman' ,'governor','woman governor','who governor' ,HUM,ind 
 'weeks','winter', 'weeks winter' ,'ground','winter ground','weeks ground' ,NUM,count 
 'what','green', 'what green' ,'bay','green bay','what bay' ,HUM,ind 
 'where','henry', 'where henry' ,'ford','henry ford','where ford' ,LOC,other 
 'what','year', 'what year' ,'did','year did','what did' ,NUM,date 
 'what','10', 'what 10' ,'largest','10 largest','what largest' ,LOC,city 
 'what','famous', 'what famous' ,'comedian','famous comedian','what comedian' ,HUM,ind 
 'what','drew', 'what drew' ,'barrymore','drew barrymore','what barrymore' ,LOC,other 
 'what','nationality', 'what nationality' ,'123','nationality 123','what 123' ,LOC,country 
 'what','tv', 'what tv' ,'family','tv family','what family' ,HUM,ind 
 'what','enigmatic', 'what enigmatic' ,'us','enigmatic us','what us' ,HUM,ind 
 'who','charles', 'who charles' ,'lindbergh','charles lindbergh','who lindbergh' ,HUM,ind 
 'who','sings', 'who sings' ,'angel','sings angel','who angel' ,HUM,ind 
 'when','did', 'when did' ,'jurassic','did jurassic','when jurassic' ,NUM,date 
 'what','date', 'what date' ,'iraq','date iraq','what iraq' ,NUM,date 
 'what','planet', 'what planet' ,'ewoks','planet ewoks','what ewoks' ,LOC,other 
 'what','dumb-but-loveable', 'what dumb-but-loveable' ,'character','dumb-but-loveable character','what character' ,HUM,ind 
 'what','sea', 'what sea' ,'surrounds','sea surrounds','what surrounds' ,LOC,other 
 'different','vegetation', 'different vegetation' ,'zones','vegetation zones','different zones' ,NUM,count 
 'what','ocean', 'what ocean' ,'amelia','ocean amelia','what amelia' ,LOC,other 
 'what','nickname', 'what nickname' ,'german','nickname german','what german' ,HUM,ind 
